,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
4,CBOSS_Dilation,Car,0.76667,1.91475,3.42891,68.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
5,CBOSS_Dilation,CBF,0.99778,1.35895,39.12779,10.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
6,CBOSS_Dilation,Coffee,0.96429,1.28226,1.16711,44.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
7,CBOSS_Dilation,DiatomSizeReduction,0.74837,1.30842,12.5917,10.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.71942,2.3211,6.2162,38.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.71377,2.76506,12.46648,6.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
10,CBOSS_Dilation,DistalPhalanxTW,0.61151,2.35126,6.48559,96.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
11,CBOSS_Dilation,ECG200,0.8,1.51424,4.62203,14.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
12,CBOSS_Dilation,ECGFiveDays,0.92334,1.25857,31.97182,20.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
13,CBOSS_Dilation,ItalyPowerDemand,0.92809,0.20919,20.97154,10.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.5974,2.2944,7.05783,8.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.5945,2.65585,9.95537,6.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
16,CBOSS_Dilation,MiddlePhalanxTW,0.5974,2.24826,7.21252,74.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
17,CBOSS_Dilation,OliveOil,0.73333,1.46372,0.47174,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
18,CBOSS_Dilation,Plane,1.0,1.56531,4.93209,114.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.85854,2.18736,9.14889,30.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.76976,2.87326,12.7862,40.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
21,CBOSS_Dilation,ProximalPhalanxTW,0.74146,2.28626,8.85614,26.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
22,CBOSS_Dilation,SyntheticControl,0.97333,1.8999,13.41655,30.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
23,CBOSS_Dilation,TwoLeadECG,0.93503,2.63448,25.80438,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
24,CBOSS_Dilation,Wine,0.48148,2.73983,0.76921,0.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
25,CBOSS_Dilation,ALL_AVERAGE,0.7886572000000001,1.8604028,10.0541164,31.84,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,chi2,512
0,CBOSS_Dilation,ArrowHead,0.78286,1.37225,8.49584,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
