,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_win_size,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
3,CBOSS_Dilation,BirdChicken,0.85,16.7046,1.16988,3150,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.78333,30.55005,3.25921,7539,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.87111,7.72868,35.81369,609,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.92857,8.67355,1.32469,1302,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.69608,2.90254,14.14568,693,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,37.72364,6.7641,2163,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.68116,274.56289,12.6598,5439,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.6259,134.65264,6.82236,9492,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.8,12.89,5.85981,1071,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.96748,17.07544,39.36959,441,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.49854,23.33945,34.44124,0,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61039,215.89238,6.89353,3801,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.76632,138.89139,17.36848,2877,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51299,35.02062,9.98088,17871,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.8,13.4201,2.40381,609,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,0.98095,61.20346,6.48503,21819,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,220.16058,10.05223,5334,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.86942,150.29987,13.79092,4032,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.75122,50.9094,12.34688,7539,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.81667,54.07745,13.19107,9618,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.75241,21.56157,45.65193,126,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.7037,14.4086,2.95448,441,21,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.76571,9.45961,8.2089,900,25,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.63333,16.80088,1.69326,3975,25,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,1.0,69.82071,1.22011,11400,25,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
