,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.3741,1266.91058,283.86602,15000,26.78235,493.56988999999993,746.3937499999997,1.0,1.0,[0],1.0,200,5000
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.42029,2102.12114,328.47018,15000,25.49314,587.7140499999999,1488.6720800000003,1.0,1.0,[0],1.0,200,5000
10,TSF_Dilation,DistalPhalanxTW,0.44604,1513.44116,284.66294,15000,25.91334,490.7472499999999,996.6050099999995,1.0,1.0,[0],1.0,200,5000
11,TSF_Dilation,ECG200,0.59,465.8719,290.78966,15000,27.21069,337.79726999999986,100.69925999999992,1.0,1.0,[0],1.0,200,5000
12,TSF_Dilation,ECGFiveDays,0.96167,318.55159,644.52415,15000,26.76004,281.90371,9.739459999999996,1.0,1.0,[0],1.0,200,5000
13,TSF_Dilation,ItalyPowerDemand,0.56754,340.16907,480.25921,15000,27.46059,270.1676799999999,42.38213000000002,1.0,1.0,[0],1.0,200,5000
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.16234,1428.26415,290.87669,15000,25.91983,503.4058500000002,898.7568500000004,1.0,1.0,[0],1.0,200,5000
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.43643,2334.48616,348.79997,15000,27.71109,608.2309999999997,1698.3117000000007,1.0,1.0,[0],1.0,200,5000
16,TSF_Dilation,MiddlePhalanxTW,0.18831,2036.26045,291.37283,15000,25.7301,496.14658000000003,1514.2037999999998,1.0,1.0,[0],1.0,200,5000
17,TSF_Dilation,OliveOil,0.63333,426.36711,283.63283,15000,26.88688,370.8620700000002,28.472099999999998,1.0,1.0,[0],1.0,200,5000
18,TSF_Dilation,Plane,0.69524,576.23581,298.50842,15000,26.84178,367.0324000000001,182.19462000000007,1.0,1.0,[0],1.0,200,5000
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.80488,1320.18205,313.00576,15000,26.0809,491.8370400000003,802.0953700000001,1.0,1.0,[0],1.0,200,5000
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.31615,2073.43701,345.79207,15000,26.26335,604.0800800000003,1442.87811,1.0,1.0,[0],1.0,200,5000
