,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
13,STC_Dilation,ItalyPowerDemand,0.96404,11.16611,9.84823,10000,10000,,50000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.54545,167.01834,17.14164,10000,10000,,50000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.84192,373.48851,39.40976,10000,10000,,50000
16,STC_Dilation,MiddlePhalanxTW,0.57143,186.85596,16.62894,10000,10000,,50000
17,STC_Dilation,OliveOil,0.76667,26.28395,1.42133,10000,10000,,50000
18,STC_Dilation,Plane,1.0,35.16525,5.19571,10000,10000,,50000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.83902,161.8636,21.18197,10000,10000,,50000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.87973,367.33444,37.7864,10000,10000,,50000
21,STC_Dilation,ProximalPhalanxTW,0.78049,173.2335,21.6142,10000,10000,,50000
22,STC_Dilation,SyntheticControl,0.99667,95.62812,20.88529,10000,10000,,50000
23,STC_Dilation,TwoLeadECG,0.98946,8.61771,7.84076,10000,10000,,50000
24,STC_Dilation,Wine,0.94444,24.27414,2.96678,10000,10000,,50000
