,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_window,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
5,CBOSS_Dilation,CBF,0.99111,1.3322,26.01265,19,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
6,CBOSS_Dilation,Coffee,1.0,2.68774,0.94861,0,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85294,2.92627,9.29667,8,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,2.70901,4.60782,84,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.73913,3.52194,8.86002,19,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.64029,2.57373,4.54765,24,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
11,CBOSS_Dilation,ECG200,0.84,1.404,2.99762,42,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99652,1.298,24.82916,27,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.94947,0.66795,15.81123,5,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61688,2.57821,4.85938,36,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.63918,3.278,8.31941,5,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.58442,2.58351,5.0096,60,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
17,CBOSS_Dilation,OliveOil,0.8,6.22752,0.99132,3,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
18,CBOSS_Dilation,Plane,1.0,2.26478,3.43218,80,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.85854,2.55155,6.47978,8,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.80412,3.00679,9.21187,14,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.79024,2.06274,6.45204,7,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.99,1.0816,9.2543,111,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.97454,0.435,29.63034,5,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
24,CBOSS_Dilation,Wine,0.66667,2.13218,1.3506,0,1,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",2,chi2,256
